NO	LRR	LRR_var	group
147	-0.04580985	0.000993815	NBPs
148	-0.148569371	0.000724519	NBPs
149	-0.102051826	0.000719524	NBPs
150	-0.053588681	0.001347088	NBPs
151	-0.081491416	0.001976415	NBPs
152	-0.496438724	0.002323264	NBPs
153	-0.168749111	0.001362508	NBPs
154	-0.345202888	0.000850261	NBPs
155	-0.253092633	0.000742386	NBPs
156	-0.183815554	0.000909584	NBPs
157	-0.312874779	0.001223644	NBPs
158	-0.258269076	0.000738334	NBPs
159	-0.053588681	0.001347088	NBPs
160	-0.119957863	0.00174744	NBPs
161	-0.302282936	0.001280953	NBPs
162	-0.084191188	0.000342658	NBPs
163	-0.183567641	0.00087417	NBPs
164	-0.125579818	0.001544735	NBPs
165	-0.127156083	0.00069226	BPs
166	-0.317988777	0.000887447	BPs
167	-0.485041608	0.00086421	BPs
168	-0.119957863	0.001266837	BPs
169	-0.212338839	0.001851468	BPs
170	-1.343737866	0.00271632	BPs
171	-0.090969391	0.000761003	BPs
172	-0.390059804	0.002478679	BPs
173	-0.763917061	0.000442797	BPs
174	-0.10413904	0.000732169	NBPs
175	-0.25761423	0.000711459	NBPs
176	-0.485509899	0.000833062	BPs
177	-0.499490443	0.002251383	NBPs
178	-0.307823247	0.001238464	NBPs
179	-1.36097422	0.004526728	BPs
180	-0.249566939	0.000830355	NBPs
181	-0.123936048	0.001615641	NBPs
182	-0.763017338	0.00083298	BPs
183	-0.153025427	0.00387568	NBPs
184	-0.176931388	0.002228944	NBPs
185	-0.30538237	0.032542785	NBPs
186	-0.332531676	0.031312915	NBPs
187	-0.428760589	0.040139384	NBPs
188	-0.452932555	0.053040121	NBPs
189	-0.562931147	0.027425335	NBPs
190	-0.574627648	0.098480112	NBPs
191	-0.040273457	0.025195209	BPs
192	-0.314348647	0.023221059	BPs
193	-0.11860628	0.029532557	BPs
194	-0.112005329	0.03190157	BPs
195	-0.134476791	0.025778629	BPs
196	-0.363319757	0.031067184	BPs
197	-0.012582164	0.000307252	NBPs
198	-0.05129694	0.00172634	NBPs
199	-0.124055823	0.00075815	NBPs
200	-0.18733743	0.002438291	NBPs
201	0.023856317	0.000839634	NBPs
202	0.079517801	0.000859643	NBPs
203	-0.00691959	0.001871401	NBPs
204	-0.045857652	0.000450955	NBPs
205	0.052899999	0.003792988	NBPs
206	0.056192184	0.002711151	BPs
207	0	0.013855407	NBPs
208	0.187382887	0.011891466	NBPs
209	0.520532117	0.001318707	NBPs
210	0.399390442	0.000266221	NBPs
211	0.630231154	0.000423305	NBPs
212	0.311779596	0.000304616	NBPs
213	0.39730246	0.000287892	NBPs
214	0.136576064	0.001556404	NBPs
215	0.534924286	0.000470377	NBPs
216	0.021975704	0.050346272	NBPs
217	-0.01117451	0.005106326	NBPs
218	0.245119255	0.022444323	NBPs
219	0.105355982	0.028687303	NBPs
220	0.011045415	0.017698782	NBPs
221	-0.143104331	0.030863869	NBPs
222	0.095309665	0.032572545	BPs
223	-0.105359886	0.200614832	BPs
224	0.05406752	0.061701003	BPs
225	0.154146632	0.035830504	BPs
226	-0.088932607	0.001625759	NBPs
227	-0.037149922	0.005087091	NBPs
228	0.17558104	0.018305696	BPs
229	-0.032512617	0.003419465	BPs
230	0.031488748	0.003622208	BPs
231	-0.012961579	0.032809495	NBPs
232	-0.060589628	0.032671659	NBPs
233	-0.071956786	0.033479335	BPs
234	-0.018649877	0.034044443	BPs
235	-0.116873595	0.032487301	BPs
236	-0.145025772	0.002537208	BPs
237	-0.216913002	0.00556803	BPs
238	-0.342490309	0.010620294	BPs
239	-0.216913002	0.002288835	BPs
240	0.03003241	0.000450087	BPs
241	0.120489869	0.002701333	NBPs
242	-0.006116253	0.000936836	NBPs
243	-0.296612272	0.004855394	BPs
244	-0.603915659	0.022512986	NBPs
245	-1.966113181	0.011914853	NBPs
246	-0.016694437	0.001724923	NBPs
247	-0.013332195	0.001422387	NBPs
248	0.094709999	0.001146218	NBPs
249	-0.030252602	0.000992905	NBPs
250	-0.037103767	0.001058936	NBPs
251	-0.077884508	0.000251349	NBPs
252	0.045077147	0.002634756	NBPs
253	0.093474881	0.000788284	NBPs
254	0.119381842	0.000220909	NBPs
255	0.073717531	0.003166529	NBPs
256	0.032261657	0.00291623	NBPs
257	0.063513564	0.002446137	NBPs
258	0.037537896	0.002622185	NBPs
259	0.017522351	0.005025994	NBPs
260	-0.129211731	0.002775111	NBPs
261	0.180747992	0.00095723	NBPs
262	0.226910034	0.003870229	NBPs
263	-0.046522707	0.001828758	NBPs
264	-0.204378684	0.003347895	NBPs
265	-0.146601491	0.00545669	BPs
266	-0.238409103	0.001311959	BPs
267	0	0.001495446	NBPs
268	-0.01905515	0.005102617	NBPs
269	-0.028713598	0.001513093	BPs
270	-0.186105612	0.001486828	BPs
271	0.027156166	0.000849707	NBPs
272	-0.106379191	0.002238068	NBPs
273	-0.092847364	0.000758348	BPs
274	-0.248696346	0.000932667	BPs
275	0.016053894	0.001167351	NBPs
276	-0.142354874	0.001171609	NBPs
277	-0.009756707	0.00105493	BPs
278	-0.172659921	0.003569827	BPs
279	0.031581572	0.000699165	NBPs
280	0.046520016	0.00053466	NBPs
281	-0.67560358	0.053864995	NBPs
282	-0.64296371	0.05049614	NBPs
283	-0.469237264	0.050120281	NBPs
284	-0.898386562	0.054155565	NBPs
285	-2.671234061	52.50699867	NBPs
286	-0.127834881	0.014513115	NBPs
287	-0.027774093	0.000948872	NBPs
288	-0.101779906	0.002660002	NBPs
289	-0.23052294	0.005703419	NBPs
290	-0.353638338	0.121629734	NBPs
291	0.22314464	0.029513424	NBPs
292	0.051292951	0.005270012	NBPs
293	-0.040275336	0.005659347	NBPs
294	-0.010590575	0.001450036	NBPs
295	0.527523884	0.002887487	NBPs
296	0.090513643	0.00848587	NBPs
297	0.328923093	0.01224502	NBPs
298	-0.180583067	0.007972815	NBPs
299	-0.248831796	0.016503946	NBPs
300	-0.358745784	0.006545733	NBPs
