OTU	log2FC	p_value	group	Origin
metC	17.36030385	0.15848285	SP-SNV	S_cycle
prpE	20.45418183	0.042517201	SP-SNV	S_cycle
pta	0	1	SP-SNV	S_cycle
soxX	22.22214597	0.005088387	SP-SNV	S_cycle
sqdB	21.19086735	0.014390561	SP-SNV	S_cycle
ssuB	-2.977458735	0.474877416	SP-SNV	S_cycle
ssuC	20.75219134	0.017839367	SP-SNV	S_cycle
sulP	0	1	SP-SNV	S_cycle
tauB	20.09115883	0.086483664	SP-SNV	S_cycle
GH5	4.155100107	0.027043153	WP-WNV	C_cycle
GH13	18.45478169	0.039416825	WP-WNV	C_cycle
GH43	16.47080284	0.019140882	WP-WNV	C_cycle
GT2	-2.697580093	0.146276956	WP-WNV	C_cycle
PL1	11.06310443	0.319356757	WP-WNV	C_cycle
PL7	0	1	WP-WNV	C_cycle
rbcL	16.30303607	0.30960807	WP-WNV	C_cycle
acdA	5.697803068	0.045029411	WP-WNV	C_cycle
ackA	4.091382552	0.328340208	WP-WNV	C_cycle
apgM	13.96918319	0.319356757	WP-WNV	C_cycle
dfrA1	0	1	WP-WNV	C_cycle
eno	19.54672217	0.051441035	WP-WNV	C_cycle
fbp	16.68232879	0.17347922	WP-WNV	C_cycle
fdhA	2.625719695	0.180307031	WP-WNV	C_cycle
folA	0.1778004	0.832378927	WP-WNV	C_cycle
glpX	-21.53449212	0.184565951	WP-WNV	C_cycle
glyA	0.411843593	0.704472864	WP-WNV	C_cycle
gpmB	0	1	WP-WNV	C_cycle
gpmI	15.01829626	0.076605025	WP-WNV	C_cycle
hprA	17.54329626	0.319356757	WP-WNV	C_cycle
hxlA	3.533628702	0.089864026	WP-WNV	C_cycle
mdh-K00024	1.960761141	0.14702637	WP-WNV	C_cycle
metF	0.836036433	0.447035389	WP-WNV	C_cycle
mtrA	-20.22359949	0.330564931	WP-WNV	C_cycle
nirK	13.42269157	0.227757478	WP-WNV	C_cycle
pfkA	-4.884581292	0.339147989	WP-WNV	C_cycle
ppc	14.45895581	0.163313863	WP-WNV	C_cycle
pqqA	16.55396837	0.128044757	WP-WNV	C_cycle
pqqB	12.19448917	0.319356757	WP-WNV	C_cycle
pqqE	0	1	WP-WNV	C_cycle
pta	0	1	WP-WNV	C_cycle
rnfC	14.11158598	0.18367952	WP-WNV	C_cycle
serB	13.75557665	0.319356757	WP-WNV	C_cycle
asnB	-4.522572112	0.183062976	WP-WNV	N_cycle
nrfA	0	1	WP-WNV	N_cycle
ureB	0	1	WP-WNV	N_cycle
nosZ	0	1	WP-WNV	N_cycle
nirK	0	1	WP-WNV	N_cycle
nmo	16.69634083	0.196117634	WP-WNV	N_cycle
nifW	19.1312449	0.319356757	WP-WNV	N_cycle
adk	17.52203734	0.312789711	WP-WNV	P_cycle
dcd	0.510040671	0.706781674	WP-WNV	P_cycle
dut	2.267894072	0.001291859	WP-WNV	P_cycle
gdh	17.60593438	0.083526824	WP-WNV	P_cycle
gmk	13.89658681	0.319356757	WP-WNV	P_cycle
gnd	0	1	WP-WNV	P_cycle
gntK	16.4542783	0.040926134	WP-WNV	P_cycle
guaA	3.203481734	0.112015045	WP-WNV	P_cycle
guaB	16.72717311	0.191114132	WP-WNV	P_cycle
ndk	17.22586864	0.030050571	WP-WNV	P_cycle
nrdA	1.491017821	0.188005584	WP-WNV	P_cycle
nrdB	2.39790039	0.017775511	WP-WNV	P_cycle
nrdD	9.244100999	0.181464211	WP-WNV	P_cycle
nrdE	-2.722306693	0.195626856	WP-WNV	P_cycle
nrdF	-1.825664216	0.270284821	WP-WNV	P_cycle
nrdJ	4.66578253	0.274305494	WP-WNV	P_cycle
phnK	10.34093379	0.319356757	WP-WNV	P_cycle
phnN	19.1312449	0.319356757	WP-WNV	P_cycle
phoH	-2.341147827	0.107939723	WP-WNV	P_cycle
ppa	17.36131343	0.044992019	WP-WNV	P_cycle
ppc	0	1	WP-WNV	P_cycle
ppdK	0	1	WP-WNV	P_cycle
ppk	18.91165236	0.034387705	WP-WNV	P_cycle
pstA	18.4054577	0.110503152	WP-WNV	P_cycle
pstB	18.0706604	0.035100307	WP-WNV	P_cycle
pstS	19.03544735	0.04480529	WP-WNV	P_cycle
ptsI	12.94763663	0.086060081	WP-WNV	P_cycle
purA	20.71411821	0.246488001	WP-WNV	P_cycle
purB	6.200144318	0.091513925	WP-WNV	P_cycle
purH	-0.412438604	0.832637001	WP-WNV	P_cycle
purK	2.239227827	0.10849409	WP-WNV	P_cycle
purL	-0.778055432	0.719904856	WP-WNV	P_cycle
purM	-0.883038513	0.424851213	WP-WNV	P_cycle
purN	17.71516758	0.037883313	WP-WNV	P_cycle
purQ	17.66098118	0.118984047	WP-WNV	P_cycle
purS	16.94124542	0.03725422	WP-WNV	P_cycle
purT	14.95204686	0.163996066	WP-WNV	P_cycle
pyk	0	1	WP-WNV	P_cycle
pyrE	16.95513154	0.272628403	WP-WNV	P_cycle
pyrF	0	1	WP-WNV	P_cycle
pyrG	16.55396837	0.128044757	WP-WNV	P_cycle
pyrH	1.2958397	0.430468787	WP-WNV	P_cycle
rtpR	18.99361269	0.230967334	WP-WNV	P_cycle
thyA	1.224982646	0.171123741	WP-WNV	P_cycle
tmk	1.894019542	0.138121569	WP-WNV	P_cycle
ugpC	14.86214895	0.319356757	WP-WNV	P_cycle
betA	1.546765793	0.3071089	WP-WNV	S_cycle
betB	13.5881042	0.158452776	WP-WNV	S_cycle
cysA	18.0706604	0.035100307	WP-WNV	S_cycle
cysC	22.23306253	0.048063251	WP-WNV	S_cycle
cysD	17.27520313	0.033864965	WP-WNV	S_cycle
cysE	19.1312449	0.319356757	WP-WNV	S_cycle
cysH	14.95130794	0.290329083	WP-WNV	S_cycle
cysI	-1.720028663	0.229821336	WP-WNV	S_cycle
cysJ	-3.685967685	0.059970504	WP-WNV	S_cycle
cysK	17.66904686	0.141760468	WP-WNV	S_cycle
cysN	16.49116849	0.147168591	WP-WNV	S_cycle
cysQ	17.56374126	0.312518841	WP-WNV	S_cycle
dddC	12.94763663	0.086060081	WP-WNV	S_cycle
dmsA	0	1	WP-WNV	S_cycle
dmsC	0	1	WP-WNV	S_cycle
dsrA	18.00482153	0.032893601	WP-WNV	S_cycle
isfD	0	1	WP-WNV	S_cycle
mdh	3.658230368	0.10390433	WP-WNV	S_cycle
metB	0	1	WP-WNV	S_cycle
metC	-2.721191515	0.412121914	WP-WNV	S_cycle
prpE	0	1	WP-WNV	S_cycle
pta	17.48101634	0.101327465	WP-WNV	S_cycle
soxX	2.823849977	0.212336257	WP-WNV	S_cycle
sqdB	15.94044395	0.172250422	WP-WNV	S_cycle
ssuB	-2.643858861	0.263667763	WP-WNV	S_cycle
ssuC	0.579923312	0.678583784	WP-WNV	S_cycle
sulP	16.36105184	0.292371201	WP-WNV	S_cycle
tauB	15.96657399	0.134364577	WP-WNV	S_cycle
GH5	-0.585011252	0.486705661	WP-SP	C_cycle
GH13	18.45478169	0.039416825	WP-SP	C_cycle
GH43	16.47080284	0.019140882	WP-SP	C_cycle
GT2	0.092920563	0.935955917	WP-SP	C_cycle
PL1	11.06310443	0.319356757	WP-SP	C_cycle
PL7	-21.67048142	0.020243039	WP-SP	C_cycle
rbcL	16.30303607	0.30960807	WP-SP	C_cycle
acdA	23.21700445	0.040894939	WP-SP	C_cycle
ackA	5.052666429	0.313877693	WP-SP	C_cycle
apgM	13.96918319	0.319356757	WP-SP	C_cycle
dfrA1	-16.21112672	0.163938868	WP-SP	C_cycle
eno	1.546101332	0.231946964	WP-SP	C_cycle
fbp	16.68232879	0.17347922	WP-SP	C_cycle
fdhA	18.35721235	0.102062808	WP-SP	C_cycle
folA	-0.457475818	0.456520649	WP-SP	C_cycle
glpX	0	1	WP-SP	C_cycle
glyA	13.75788429	0.033351597	WP-SP	C_cycle
gpmB	-18.20348713	0.320613798	WP-SP	C_cycle
gpmI	15.01829626	0.076605025	WP-SP	C_cycle
hprA	17.54329626	0.319356757	WP-SP	C_cycle
hxlA	18.33493688	0.060408824	WP-SP	C_cycle
mdh-K00024	2.120103826	0.122526703	WP-SP	C_cycle
metF	-1.445137582	0.11898508	WP-SP	C_cycle
mtrA	-16.65694418	0.320613798	WP-SP	C_cycle
nirK	-3.713365933	0.110154057	WP-SP	C_cycle
pfkA	14.10621266	0.213756319	WP-SP	C_cycle
ppc	-2.746353336	0.120359876	WP-SP	C_cycle
pqqA	16.55396837	0.128044757	WP-SP	C_cycle
pqqB	12.19448917	0.319356757	WP-SP	C_cycle
pqqE	-14.90929448	0.159184038	WP-SP	C_cycle
pta	-18.43333718	0.041807804	WP-SP	C_cycle
rnfC	-4.981694843	0.014239618	WP-SP	C_cycle
serB	13.75557665	0.319356757	WP-SP	C_cycle
asnB	13.96001935	0.199826395	WP-SP	N_cycle
nrfA	-21.09395533	0.105363725	WP-SP	N_cycle
ureB	-18.88489845	0.320613798	WP-SP	N_cycle
nosZ	-17.27991309	0.125424818	WP-SP	N_cycle
